Paper Name;Freesound name
query;query
spectral-complexity;lowlevel.spectral_complexity.mean
silence-rate-20dB;lowlevel.silence_rate_20dB.mean
average-loudness;lowlevel.average_loudness
spectral-rms;lowlevel.spectral_rms.mean
spectral-kurtosis;lowlevel.spectral_kurtosis.mean
barkbands-kurtosis;lowlevel.barkbands_kurtosis.mean
spectral-spread;lowlevel.spectral_spread.mean
pitch;lowlevel.pitch.mean
dissonance;lowlevel.dissonance.mean
spectral-energyband-high;lowlevel.spectral_energyband_high.mean
spectral-flux;lowlevel.spectral_flux.mean
silence-rate-30dB;lowlevel.silence_rate_30dB.mean
spectral-energyband-middle-high;lowlevel.spectral_energyband_middle_high.mean
barkbands-spread;lowlevel.barkbands_spread.mean
spectral-centroid;lowlevel.spectral_centroid.mean
pitch-salience;lowlevel.pitch_salience.mean
silence-rate-60dB;lowlevel.silence_rate_60dB.mean
barkbands-skewness;lowlevel.barkbands_skewness.mean
spectral-entropy;lowlevel.spectral_entropy.mean
spectral-rolloff;lowlevel.spectral_rolloff.mean
spectral-energyband-low;lowlevel.spectral_energyband_low.mean
pitch-instantaneous-confidence;lowlevel.pitch_instantaneous_confidence.mean
spectral-energyband-middle-low;lowlevel.spectral_energyband_middle_low.mean
spectral-strongpeak;lowlevel.spectral_strongpeak.mean
startFrame;lowlevel.startFrame
spectral-decrease;lowlevel.spectral_decrease.mean
stopFrame;lowlevel.stopFrame
spectral-energy;lowlevel.spectral_energy.mean
spectral-flatness-db;lowlevel.spectral_flatness_db.mean
zerocrossingrate;lowlevel.zerocrossingrate.mean
spectral-skewness;lowlevel.spectral_skewness.mean
hfc;lowlevel.hfc.mean
spectral-crest;lowlevel.spectral_crest.mean
hpcp-entropy;tonal.hpcp_entropy.mean
chords-number-rate;tonal.chords_number_rate
chords-changes-rate;tonal.chords_changes_rate
key-strength;tonal.key_strength
chords-strength;tonal.chords_strength.mean
hpcp-crest;tonal.hpcp_crest.mean
chords-count;tonal.chords_count
tuning-frequency;tonal.tuning_frequency.mean
hpcp-peak-count;tonal.hpcp_peak_count
temporal-decrease;sfx.temporal_decrease.mean
inharmonicity;sfx.inharmonicity.mean
temporal-spread;sfx.temporal_spread.mean
tc-to-total;sfx.tc_to_total
temporal-kurtosis;sfx.temporal_kurtosis.mean
temporal-centroid;sfx.temporal_centroid.mean
logattacktime;sfx.logattacktime.mean
strongdecay;sfx.strongdecay
pitch-centroid;sfx.pitch_centroid.mean
duration;sfx.duration
temporal-skewness;sfx.temporal_skewness.mean
effective-duration;sfx.effective_duration.mean
oddtoevenharmonicenergyratio;sfx.oddtoevenharmonicenergyratio.mean
first-peak-bpm;rhythm.first_peak_bpm.mean
beats-count;rhythm.beats_count
beats-loudness;rhythm.beats_loudness.mean
first-peak-spread;rhythm.first_peak_spread.mean
second-peak-weight;rhythm.second_peak_weight.mean
bpm;rhythm.bpm
onset-count;rhythm.onset_count
second-peak-bpm;rhythm.second_peak_bpm.mean
onset-rate;rhythm.onset_rate
first-peak-weight;rhythm.first_peak_weight.mean